vel,pw
3.5,30000
4,72000
4.5,140000
5,215000
5.5,320000
6,437000
6.5,600000
7,781000
7.5,960000
8,1147000
8.5,1350000
9,1534000
9.5,1690000
10,1827000
10.5,1930000
11,2000000
11.5,2000000
12,2000000
12.5,2000000
13,2000000
13.5,2000000
14,2000000
14.5,2000000
15,2000000
15.5,2000000
16,2000000
16.5,2000000
17,2000000
17.5,2000000
18,2000000
18.5,2000000
19,2000000
19.5,2000000
20,2000000
20.5,2000000
21,2000000
21.5,2000000
22,2000000
22.5,2000000
23,2000000
23.5,2000000
24,2000000
24.5,2000000
25,2000000
